Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  tracking issue 10:45 am i couldn't track... [R]  Open      26 Mar, 26     #12009268
  where is my bus 9:34 am the bus is not m...      Open      26 Mar, 26     #12008677
  where is my bus 9:34 am the bus is not m... [R]  Open      26 Mar, 26     #12008666
  where is my bus 9:12 am the bus is not m... [R]  Open      26 Mar, 26     #12008447
  tracking issue 8:46 am i couldn't track ... [R]  Open      26 Mar, 26     #12008093
  where is my bus 8:42 am i can't track th...      Open      26 Mar, 26     #12008034
  where is my bus 8:27 am the bus is not m...      Open      26 Mar, 26     #12007817
  where is my bus 8:24 am the bus is not m...      Open      26 Mar, 26     #12007757
  where is my bus 8:15 am tracking is wron... [R]  Open      26 Mar, 26     #12007626
  where is my bus 8:15 am the bus is not m...      Open      26 Mar, 26     #12007613
  where is my bus 8:11 am tracking is wron...      Open      26 Mar, 26     #12007551
  where is my bus 8:07 am the bus is not m... [R]  Open      26 Mar, 26     #12007487
  where is my bus 8:01 am i can't track th... [R]  Open      26 Mar, 26     #12007398
  where is my bus 7:57 am the bus is not m... [R]  Open      26 Mar, 26     #12007319
  where is my bus 7:54 am i can't track th... [R]  Open      26 Mar, 26     #12007248
  where is my bus 7:52 am main menu 8:03 a...      Open      26 Mar, 26     #12007208
  where is my bus 7:39 am i can't track th... [R]  Open      26 Mar, 26     #12006936
  where is my bus 7:26 am the bus is not m...      Open      26 Mar, 26     #12006651
  where is my bus 6:47 am the bus is not m...      Open      26 Mar, 26     #12005990
  tracking issue 6:23 am i couldn't track ...      Open      26 Mar, 26     #12005741
  tracking issue 12:10 am i couldn't track... [R]  Open      25 Mar, 26     #12005077
  tracking issue 10:38 pm tracking was wro... [R]  Open      25 Mar, 26     #12004183
  tracking issue 9:59 pm i couldn't track ... [R]  Open      25 Mar, 26     #12003562
  tracking issue 9:03 pm i couldn't track ... [R]  Open      25 Mar, 26     #12002836
  where is my bus 8:50 pm tracking is wron... [R]  Open      25 Mar, 26     #12002709
  where is my bus 8:10 pm the bus is not m...      Open      25 Mar, 26     #12002264
  where is my bus 8:00 pm i can't track th...      Open      25 Mar, 26     #12002171
  where is my bus 7:56 pm the bus is not m... [R]  Open      25 Mar, 26     #12002130
  where is my bus 7:55 pm i can't track th...      Open      25 Mar, 26     #12002114
  tracking issue 7:52 pm tracking was wron...      Open      25 Mar, 26     #12002085
  where is my bus 7:43 pm i can't track th...      Open      25 Mar, 26     #12001972
  where is my bus 7:36 pm tracking is wron...      Open      25 Mar, 26     #12001904
  where is my bus 7:33 pm i can't track th...      Open      25 Mar, 26     #12001858
  where is my bus 7:31 pm the bus is not m... [R]  Open      25 Mar, 26     #12001824
  i want to reschedule my ride 7:19 pm mai... [R]  Open      25 Mar, 26     #12001668
  where is my bus 7:07 pm i can't track th...      Open      25 Mar, 26     #12001480
  where is my bus 7:05 pm i can't track th...      Open      25 Mar, 26     #12001447
  where is my bus 7:02 pm tracking is wron... [R]  Open      25 Mar, 26     #12001394
  where is my bus 7:00 pm the bus is not m... [R]  Open      25 Mar, 26     #12001360
  i missed my bus 6:42 pm main menu 6:48 p... [R]  Open      25 Mar, 26     #12001091
  where is my bus 6:39 pm i can't track th...      Open      25 Mar, 26     #12001022
  where is my bus 6:37 pm i can't track th...      Open      25 Mar, 26     #12000991
  where is my bus 6:02 pm the bus is not m... [R]  Open      25 Mar, 26     #12000336
  where is my bus 5:45 pm tracking is wron...      Open      25 Mar, 26     #11999965
  where is my bus 5:42 pm i can't track th... [R]  Open      25 Mar, 26     #11999907
  where is my bus 5:02 pm the bus is not m...      Open      25 Mar, 26     #11999001
  where is my bus 5:00 pm the bus is not m...      Open      25 Mar, 26     #11998941
  where is my bus 4:40 pm the bus is not m...      Open      25 Mar, 26     #11998557
  where is my bus 4:33 pm the bus is not m...      Open      25 Mar, 26     #11998429
  tracking issue 9:34 am tracking was wron... [R]  Open      25 Mar, 26     #11994228
  where is my bus 8:34 am i can't track th...      Open      25 Mar, 26     #11993365
  where is my bus 8:33 am tracking is wron... [R]  Open      25 Mar, 26     #11993343
  tracking issue 7:57 am i couldn't track ... [R]  Open      25 Mar, 26     #11992497
  where is my bus 7:22 am tracking is wron...      Open      25 Mar, 26     #11991457
  where is my bus 6:58 am the bus is not m...      Open      25 Mar, 26     #11990715
  tracking issue 8:30 pm the bus was not m... [R]  Open      24 Mar, 26     #11986749
  tracking issue 8:22 pm the bus was not m... [R]  Open      24 Mar, 26     #11986714
  tracking issue 7:59 pm i couldn't track ... [R]  Open      24 Mar, 26     #11986442
  where is my bus 7:16 pm tracking is wron...      Open      24 Mar, 26     #11985866
  where is my bus 7:04 pm i can't track th... [R]  Open      24 Mar, 26     #11985679
  tracking issue 4:28 pm the bus was not m... [R]  Open      24 Mar, 26     #11982512
  tracking issue 2:47 pm i couldn't track ... [R]  Open      24 Mar, 26     #11981137
  tracking issue 10:34 am tracking was wro... [R]  Open      24 Mar, 26     #11979167
  where is my bus 8:44 am i can't track th...      Open      24 Mar, 26     #11977933
  where is my bus 8:11 am tracking is wron... [R]  Open      24 Mar, 26     #11977011
  where is my bus 8:04 am i can't track th... [R]  Open      24 Mar, 26     #11976773
  where is my bus 7:55 am i can't track th...      Open      24 Mar, 26     #11976435
  where is my bus 7:45 am i can't track th...      Open      24 Mar, 26     #11976048
  where is my bus 7:43 am i can't track th...      Open      24 Mar, 26     #11975957
  where is my bus 7:32 am the bus is not m... [R]  Open      24 Mar, 26     #11975616
  tracking issue 3:33 pm tracking was wron... [R]  Open      23 Mar, 26     #11966375
  tracking issue 2:41 pm i couldn't track ... [R]  Open      23 Mar, 26     #11965760
  tracking issue 9:41 am the bus was not m... [R]  Open      23 Mar, 26     #11962979
  tracking issue 11:13 am i couldn't track... [R]  Open      23 Mar, 26     #11962777
  where is my bus 8:05 am i can't track th... [R]  Open      23 Mar, 26     #11961404
  where is my bus 8:05 am i can't track th...      Open      23 Mar, 26     #11961380
  where is my bus 8:00 am i can't track th... [R]  Open      23 Mar, 26     #11961215
  where is my bus 7:52 am i can't track th... [R]  Open      23 Mar, 26     #11960996
  tracking issue 6:37 am tracking was wron...      Open      23 Mar, 26     #11959953
  tracking issue 11:04 am the bus was not ... [R]  Open      19 Mar, 26     #11943895
  where is my bus 9:04 am i can't track th... [R]  Open      18 Mar, 26     #11933317
  where is my bus 8:26 am i can't track th... [R]  Open      18 Mar, 26     #11932637
  where is my bus 7:47 am i can't track th... [R]  Open      17 Mar, 26     #11915707
  tracking issue 5:39 pm i couldn't track ... [R]  Open      16 Mar, 26     #11907543
  where is my bus 9:08 am the bus is not m...      Open      16 Mar, 26     #11901738
  where is my bus 6:14 pm tracking is wron... [R]  Open      12 Mar, 26     #11878176
  where is my bus 8:31 am i can't track th...      Open      12 Mar, 26     #11871340

  Ticket IDs:
  #12009268   #12008677   #12008666   #12008447   #12008093   #12008034   #12007817   #12007757
  #12007626   #12007613   #12007551   #12007487   #12007398   #12007319   #12007248   #12007208
  #12006936   #12006651   #12005990   #12005741   #12005077   #12004183   #12003562   #12002836
  #12002709   #12002264   #12002171   #12002130   #12002114   #12002085   #12001972   #12001904
  #12001858   #12001824   #12001668   #12001480   #12001447   #12001394   #12001360   #12001091
  #12001022   #12000991   #12000336   #11999965   #11999907   #11999001   #11998941   #11998557
  #11998429   #11994228   #11993365   #11993343   #11992497   #11991457   #11990715   #11986749
  #11986714   #11986442   #11985866   #11985679   #11982512   #11981137   #11979167   #11977933
  #11977011   #11976773   #11976435   #11976048   #11975957   #11975616   #11966375   #11965760
  #11962979   #11962777   #11961404   #11961380   #11961215   #11960996   #11959953   #11943895
  #11933317   #11932637   #11915707   #11907543   #11901738   #11878176   #11871340

========================================================================
  ROUTE / TIMING SUGGESTION  [AUTO-CLOSE]  --  237 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  suggestions: route, timing, stop 11:24 a... [R]  Open      26 Mar, 26     #12009606
  suggestions: route, timing, stop 11:12 a...      Open      26 Mar, 26     #12009519
  suggestions: route, timing, stop 11:12 a...      Open      26 Mar, 26     #12009517
  suggestions: route, timing, stop 11:10 a...      Open      26 Mar, 26     #12009504
  suggestions: route, timing, stop 11:08 a...      Open      26 Mar, 26     #12009476
  suggestions: route, timing, stop 11:03 a...      Open      26 Mar, 26     #12009427
  suggestions: route, timing, stop 10:55 a...      Open      26 Mar, 26     #12009359
  suggestions: route, timing, stop 10:47 a...      Open      26 Mar, 26     #12009284
  suggestions: route, timing, stop 10:38 a...      Open      26 Mar, 26     #12009207
  suggestions: route, timing, stop 10:33 a...      Open      26 Mar, 26     #12009178
  suggestions: route, timing, stop 10:32 a...      Open      26 Mar, 26     #12009170
  suggestions: route, timing, stop 10:22 a...      Open      26 Mar, 26     #12009079
  suggestions: route, timing, stop 10:05 a...      Open      26 Mar, 26     #12008952
  suggestions: route, timing, stop 10:01 a...      Open      26 Mar, 26     #12008927
  suggestions: route, timing, stop 10:01 a...      Open      26 Mar, 26     #12008919
  suggestions: route, timing, stop 10:00 a...      Open      26 Mar, 26     #12008909
  suggestions: route, timing, stop 9:57 am...      Open      26 Mar, 26     #12008872
  suggestions: route, timing, stop 9:54 am...      Open      26 Mar, 26     #12008842
  suggestions: route, timing, stop 9:48 am...      Open      26 Mar, 26     #12008803
  suggestions: route, timing, stop 9:46 am...      Open      26 Mar, 26     #12008764
  suggestions: route, timing, stop 9:44 am... [R]  Open      26 Mar, 26     #12008762
  suggestions: route, timing, stop 9:35 am...      Open      26 Mar, 26     #12008685
  suggestions: route, timing, stop 9:34 am...      Open      26 Mar, 26     #12008676
  suggestions: route, timing, stop 9:34 am... [R]  Open      26 Mar, 26     #12008661
  suggestions: route, timing, stop 9:31 am...      Open      26 Mar, 26     #12008644
  suggestions: route, timing, stop 9:31 am...      Open      26 Mar, 26     #12008637
  suggestions: route, timing, stop 9:26 am...      Open      26 Mar, 26     #12008592
  suggestions: route, timing, stop 9:18 am...      Open      26 Mar, 26     #12008518
  suggestions: route, timing, stop 9:16 am...      Open      26 Mar, 26     #12008492
  suggestions: route, timing, stop 9:15 am...      Open      26 Mar, 26     #12008481
  suggestions: route, timing, stop 9:09 am...      Open      26 Mar, 26     #12008420
  suggestions: route, timing, stop 9:04 am... [R]  Open      26 Mar, 26     #12008361
  suggestions: route, timing, stop 9:02 am...      Open      26 Mar, 26     #12008335
  suggestions: route, timing, stop 8:53 am...      Open      26 Mar, 26     #12008208
  suggestions: route, timing, stop 8:47 am...      Open      26 Mar, 26     #12008140
  suggestions: route, timing, stop 8:45 am...      Open      26 Mar, 26     #12008102
  suggestions: route, timing, stop 8:44 am...      Open      26 Mar, 26     #12008083
  suggestions: route, timing, stop 8:43 am...      Open      26 Mar, 26     #12008055
  suggestions: route, timing, stop 8:27 am...      Open      26 Mar, 26     #12007814
  suggestions: route, timing, stop 8:27 am...      Open      26 Mar, 26     #12007803
  suggestions: route, timing, stop 8:25 am...      Open      26 Mar, 26     #12007787
  suggestions: route, timing, stop 8:19 am... [R]  Open      26 Mar, 26     #12007689
  suggestions: route, timing, stop 8:18 am...      Open      26 Mar, 26     #12007683
  suggestions: route, timing, stop 8:07 am...      Open      26 Mar, 26     #12007469
  suggestions: route, timing, stop 8:04 am...      Open      26 Mar, 26     #12007431
  my ride was not added back in the subscr...      Open      26 Mar, 26     #12007392
  suggestions: route, timing, stop 7:54 am...      Open      26 Mar, 26     #12007249
  suggestions: route, timing, stop 7:54 am...      Open      26 Mar, 26     #12007243
  suggestions: route, timing, stop 7:34 am...      Open      26 Mar, 26     #12006816
  suggestions: route, timing, stop 7:34 am... [R]  Open      26 Mar, 26     #12006806
  suggestions: route, timing, stop 7:26 am...      Open      26 Mar, 26     #12006645
  suggestions: route, timing, stop 7:20 am... [R]  Open      26 Mar, 26     #12006510
  suggestions: route, timing, stop 7:14 am...      Open      26 Mar, 26     #12006406
  suggestions: route, timing, stop 7:05 am... [R]  Open      26 Mar, 26     #12006252
  suggestions: route, timing, stop 6:45 am...      Open      26 Mar, 26     #12005959
  suggestions: route, timing, stop 6:45 am...      Open      26 Mar, 26     #12005957
  suggestions: route, timing, stop 6:40 am...      Open      26 Mar, 26     #12005906
  suggestions: route, timing, stop 5:50 am...      Open      26 Mar, 26     #12005586
  suggestions: route, timing, stop 5:20 am...      Open      25 Mar, 26     #12005529
  suggestions: route, timing, stop 12:42 a...      Open      25 Mar, 26     #12005241
  suggestions: route, timing, stop 12:12 a...      Open      25 Mar, 26     #12005089
  suggestions: route, timing, stop 11:57 p...      Open      25 Mar, 26     #12004981
  suggestions: route, timing, stop 11:53 p... [R]  Open      25 Mar, 26     #12004955
  suggestions: route, timing, stop 11:53 p...      Open      25 Mar, 26     #12004949
  suggestions: route, timing, stop 11:40 p...      Open      25 Mar, 26     #12004862
  suggestions: route, timing, stop 11:32 p...      Open      25 Mar, 26     #12004784
  suggestions: route, timing, stop 11:13 p...      Open      25 Mar, 26     #12004582
  suggestions: route, timing, stop 11:12 p...      Open      25 Mar, 26     #12004570
  suggestions: route, timing, stop 11:12 p...      Open      25 Mar, 26     #12004566
  main menu 11:13 pm suggestions: route, t...      Open      25 Mar, 26     #12004530
  suggestions: route, timing, stop 11:03 p...      Open      25 Mar, 26     #12004476
  suggestions: route, timing, stop 11:01 p...      Open      25 Mar, 26     #12004459
  suggestions: route, timing, stop 10:59 p...      Open      25 Mar, 26     #12004429
  suggestions: route, timing, stop 10:59 p...      Open      25 Mar, 26     #12004428
  suggestions: route, timing, stop 10:58 p...      Open      25 Mar, 26     #12004427
  main menu 10:37 pm suggestions: route, t...      Open      25 Mar, 26     #12004110
  suggestions: route, timing, stop 10:13 p...      Open      25 Mar, 26     #12003797
  suggestions: route, timing, stop 10:10 p...      Open      25 Mar, 26     #12003740
  suggestions: route, timing, stop 10:09 p...      Open      25 Mar, 26     #12003734
  suggestions: route, timing, stop 10:07 p...      Open      25 Mar, 26     #12003705
  suggestions: route, timing, stop 10:00 p...      Open      25 Mar, 26     #12003569
  suggestions: route, timing, stop 9:50 pm... [R]  Open      25 Mar, 26     #12003453
  suggestions: route, timing, stop 9:49 pm...      Open      25 Mar, 26     #12003451
